# Log started at 2024-07-17 01:20:58.
# Total number of iterations = 31.
# Number of averages = 600.
# Scan range (start, stop, step) = (0, 30, 1).
# List of input parameters:
#   IN0 - Misc.scan x.
# List of actions:
#   ACT0 - Calibration.Stabilize lasers: calib iter 0, calib time (sec) 60, initial calib true.
#   ACT1 - Sorting: max iter 10000, MOT disable false.
#   ACT2 - Sequence.Clear.
#   ACT3 - Sequence.Init devices.
#   ACT4 - Sequence.Delay: time (us) 30000.
#   ACT5 - Sequence.Dipole trap en: Trap on false.
#   ACT6 - Sequence.Delay: time (us) x.
#   ACT7 - Sequence.Dipole trap en: Trap on true.
#   ACT8 - Sequence.Exec.
#   ACT9 - Camera.Shot.
# List of output parameters:
#   OUT0 - Trap.Filled: trap 54.
#          X         OUT0   STDEV_OUT0          IN0 
    0.000000        0.927        0.012     0.000000 
    1.000000        0.933        0.011     1.000000 
    2.000000        0.886        0.014     2.000000 
    3.000000        0.816        0.018     3.000000 
    4.000000        0.747        0.020     4.000000 
    5.000000        0.608        0.022     5.000000 
    6.000000        0.539        0.023     6.000000 
    7.000000        0.465        0.023     7.000000 
    8.000000        0.396        0.022     8.000000 
    9.000000        0.402        0.022     9.000000 
   10.000000        0.327        0.021    10.000000 
   11.000000        0.296        0.021    11.000000 
   12.000000        0.288        0.020    12.000000 
   13.000000        0.269        0.020    13.000000 
   14.000000        0.233        0.019    14.000000 
   15.000000        0.206        0.018    15.000000 
   16.000000        0.204        0.018    16.000000 
   17.000000        0.157        0.016    17.000000 
   18.000000        0.165        0.017    18.000000 
   19.000000        0.122        0.015    19.000000 
   20.000000        0.137        0.016    20.000000 
   21.000000        0.094        0.013    21.000000 
   22.000000        0.090        0.013    22.000000 
   23.000000        0.125        0.015    23.000000 
   24.000000        0.067        0.011    24.000000 
   25.000000        0.088        0.013    25.000000 
   26.000000        0.084        0.013    26.000000 
   27.000000        0.057        0.011    27.000000 
   28.000000        0.067        0.011    28.000000 
   29.000000        0.082        0.012    29.000000 
   30.000000        0.063        0.011    30.000000 
